Time [hr],Well,PCAred fluorescence (AU),Strain,Medium,Condition,Condition Conc. (µM),OD600
0.061,A1,8613,calibration,basal medium,PCA,800,0.079
0.144,A1,8625,calibration,basal medium,PCA,800,0.079
0.228,A1,8660,calibration,basal medium,PCA,800,0.08
0.311,A1,8699,calibration,basal medium,PCA,800,0.079
0.394,A1,8711,calibration,basal medium,PCA,800,0.079
0.478,A1,8695,calibration,basal medium,PCA,800,0.08
0.561,A1,8700,calibration,basal medium,PCA,800,0.08
0.644,A1,8740,calibration,basal medium,PCA,800,0.08
0.728,A1,8696,calibration,basal medium,PCA,800,0.08
0.811,A1,8703,calibration,basal medium,PCA,800,0.08
0.894,A1,8697,calibration,basal medium,PCA,800,0.081
0.978,A1,8722,calibration,basal medium,PCA,800,0.08
1.061,A1,8719,calibration,basal medium,PCA,800,0.08
1.144,A1,8726,calibration,basal medium,PCA,800,0.08
1.228,A1,8723,calibration,basal medium,PCA,800,0.08
1.311,A1,8721,calibration,basal medium,PCA,800,0.08
1.394,A1,8709,calibration,basal medium,PCA,800,0.08
1.478,A1,8744,calibration,basal medium,PCA,800,0.08
1.561,A1,8756,calibration,basal medium,PCA,800,0.08
1.644,A1,8684,calibration,basal medium,PCA,800,0.08
1.728,A1,8754,calibration,basal medium,PCA,800,0.08
1.811,A1,8720,calibration,basal medium,PCA,800,0.08
1.894,A1,8716,calibration,basal medium,PCA,800,0.08
1.978,A1,8782,calibration,basal medium,PCA,800,0.08
2.061,A1,8749,calibration,basal medium,PCA,800,0.08
2.144,A1,8764,calibration,basal medium,PCA,800,0.08
2.228,A1,8769,calibration,basal medium,PCA,800,0.08
2.311,A1,8789,calibration,basal medium,PCA,800,0.08
2.394,A1,8797,calibration,basal medium,PCA,800,0.08
2.478,A1,8799,calibration,basal medium,PCA,800,0.08
2.561,A1,8819,calibration,basal medium,PCA,800,0.08
2.644,A1,8814,calibration,basal medium,PCA,800,0.08
2.728,A1,8814,calibration,basal medium,PCA,800,0.079
2.811,A1,8796,calibration,basal medium,PCA,800,0.08
2.894,A1,8795,calibration,basal medium,PCA,800,0.08
2.978,A1,8808,calibration,basal medium,PCA,800,0.08
3.061,A1,8838,calibration,basal medium,PCA,800,0.08
3.144,A1,8813,calibration,basal medium,PCA,800,0.08
3.228,A1,8845,calibration,basal medium,PCA,800,0.08
3.311,A1,8810,calibration,basal medium,PCA,800,0.079
3.394,A1,8828,calibration,basal medium,PCA,800,0.079
3.478,A1,8848,calibration,basal medium,PCA,800,0.079
3.561,A1,8832,calibration,basal medium,PCA,800,0.08
3.644,A1,8823,calibration,basal medium,PCA,800,0.079
3.728,A1,8805,calibration,basal medium,PCA,800,0.079
3.811,A1,8828,calibration,basal medium,PCA,800,0.08
3.894,A1,8834,calibration,basal medium,PCA,800,0.079
3.978,A1,8818,calibration,basal medium,PCA,800,0.08
4.061,A1,8810,calibration,basal medium,PCA,800,0.08
4.144,A1,8822,calibration,basal medium,PCA,800,0.08
4.228,A1,8859,calibration,basal medium,PCA,800,0.079
4.311,A1,8869,calibration,basal medium,PCA,800,0.08
4.394,A1,8829,calibration,basal medium,PCA,800,0.079
4.478,A1,8857,calibration,basal medium,PCA,800,0.079
4.561,A1,8832,calibration,basal medium,PCA,800,0.079
4.644,A1,8864,calibration,basal medium,PCA,800,0.079
4.728,A1,8876,calibration,basal medium,PCA,800,0.079
4.811,A1,8840,calibration,basal medium,PCA,800,0.079
4.894,A1,8835,calibration,basal medium,PCA,800,0.079
4.978,A1,8837,calibration,basal medium,PCA,800,0.079
5.061,A1,8845,calibration,basal medium,PCA,800,0.079
5.144,A1,8850,calibration,basal medium,PCA,800,0.079
5.228,A1,8879,calibration,basal medium,PCA,800,0.079
5.311,A1,8841,calibration,basal medium,PCA,800,0.079
5.394,A1,8851,calibration,basal medium,PCA,800,0.08
5.478,A1,8881,calibration,basal medium,PCA,800,0.08
5.561,A1,8890,calibration,basal medium,PCA,800,0.079
5.644,A1,8886,calibration,basal medium,PCA,800,0.079
5.728,A1,8897,calibration,basal medium,PCA,800,0.079
5.811,A1,8872,calibration,basal medium,PCA,800,0.079
5.894,A1,8860,calibration,basal medium,PCA,800,0.079
5.978,A1,8898,calibration,basal medium,PCA,800,0.08
6.061,A1,8869,calibration,basal medium,PCA,800,0.079
6.144,A1,8906,calibration,basal medium,PCA,800,0.08
6.228,A1,8905,calibration,basal medium,PCA,800,0.079
6.311,A1,8870,calibration,basal medium,PCA,800,0.079
6.394,A1,8920,calibration,basal medium,PCA,800,0.079
6.478,A1,8914,calibration,basal medium,PCA,800,0.08
6.561,A1,8870,calibration,basal medium,PCA,800,0.079
6.644,A1,8889,calibration,basal medium,PCA,800,0.08
6.728,A1,8891,calibration,basal medium,PCA,800,0.079
6.811,A1,8863,calibration,basal medium,PCA,800,0.079
6.894,A1,8937,calibration,basal medium,PCA,800,0.08
6.978,A1,8825,calibration,basal medium,PCA,800,0.08
7.061,A1,8895,calibration,basal medium,PCA,800,0.079
7.144,A1,8875,calibration,basal medium,PCA,800,0.079
7.228,A1,8918,calibration,basal medium,PCA,800,0.079
7.311,A1,8897,calibration,basal medium,PCA,800,0.079
7.394,A1,8895,calibration,basal medium,PCA,800,0.079
7.478,A1,8883,calibration,basal medium,PCA,800,0.079
7.561,A1,8948,calibration,basal medium,PCA,800,0.078
7.644,A1,8913,calibration,basal medium,PCA,800,0.079
