Time [hr],Well,PCAred fluorescence (AU),Strain,Medium,Condition,Condition Conc. (µM),OD600
0.061,A1,8609,calibration,basal medium,PCA,800,0.076
0.144,A1,8673,calibration,basal medium,PCA,800,0.078
0.228,A1,8674,calibration,basal medium,PCA,800,0.079
0.311,A1,8725,calibration,basal medium,PCA,800,0.077
0.394,A1,8745,calibration,basal medium,PCA,800,0.087
0.478,A1,8734,calibration,basal medium,PCA,800,0.078
0.561,A1,8749,calibration,basal medium,PCA,800,0.084
0.644,A1,8802,calibration,basal medium,PCA,800,0.078
0.728,A1,8783,calibration,basal medium,PCA,800,0.079
0.811,A1,8761,calibration,basal medium,PCA,800,0.08
0.894,A1,8757,calibration,basal medium,PCA,800,0.084
0.978,A1,8774,calibration,basal medium,PCA,800,0.078
1.061,A1,8777,calibration,basal medium,PCA,800,0.084
1.144,A1,8760,calibration,basal medium,PCA,800,0.08
1.228,A1,8824,calibration,basal medium,PCA,800,0.077
1.311,A1,8841,calibration,basal medium,PCA,800,0.077
1.394,A1,8809,calibration,basal medium,PCA,800,0.077
1.478,A1,8801,calibration,basal medium,PCA,800,0.077
1.561,A1,8832,calibration,basal medium,PCA,800,0.077
1.644,A1,8833,calibration,basal medium,PCA,800,0.077
1.728,A1,8826,calibration,basal medium,PCA,800,0.077
1.811,A1,8876,calibration,basal medium,PCA,800,0.077
1.894,A1,8868,calibration,basal medium,PCA,800,0.077
1.978,A1,8841,calibration,basal medium,PCA,800,0.077
2.061,A1,8828,calibration,basal medium,PCA,800,0.076
2.144,A1,8890,calibration,basal medium,PCA,800,0.078
2.228,A1,8817,calibration,basal medium,PCA,800,0.078
2.311,A1,8834,calibration,basal medium,PCA,800,0.077
2.394,A1,8856,calibration,basal medium,PCA,800,0.077
2.478,A1,8831,calibration,basal medium,PCA,800,0.077
2.561,A1,8822,calibration,basal medium,PCA,800,0.077
2.644,A1,8870,calibration,basal medium,PCA,800,0.077
2.728,A1,8856,calibration,basal medium,PCA,800,0.077
2.811,A1,8830,calibration,basal medium,PCA,800,0.077
2.894,A1,8859,calibration,basal medium,PCA,800,0.077
2.978,A1,8827,calibration,basal medium,PCA,800,0.077
3.061,A1,8844,calibration,basal medium,PCA,800,0.077
3.144,A1,8832,calibration,basal medium,PCA,800,0.077
3.228,A1,8799,calibration,basal medium,PCA,800,0.077
3.311,A1,8883,calibration,basal medium,PCA,800,0.077
3.394,A1,8789,calibration,basal medium,PCA,800,0.077
3.478,A1,8909,calibration,basal medium,PCA,800,0.077
3.561,A1,8896,calibration,basal medium,PCA,800,0.077
3.644,A1,8886,calibration,basal medium,PCA,800,0.077
3.728,A1,8860,calibration,basal medium,PCA,800,0.077
3.811,A1,8863,calibration,basal medium,PCA,800,0.078
3.894,A1,8836,calibration,basal medium,PCA,800,0.077
3.978,A1,8865,calibration,basal medium,PCA,800,0.077
4.061,A1,8823,calibration,basal medium,PCA,800,0.077
4.144,A1,8823,calibration,basal medium,PCA,800,0.077
4.228,A1,8832,calibration,basal medium,PCA,800,0.077
4.311,A1,8829,calibration,basal medium,PCA,800,0.076
4.394,A1,8873,calibration,basal medium,PCA,800,0.078
4.478,A1,8900,calibration,basal medium,PCA,800,0.077
4.561,A1,8849,calibration,basal medium,PCA,800,0.077
4.644,A1,8883,calibration,basal medium,PCA,800,0.077
4.728,A1,8854,calibration,basal medium,PCA,800,0.078
4.811,A1,8878,calibration,basal medium,PCA,800,0.077
4.894,A1,8851,calibration,basal medium,PCA,800,0.077
4.978,A1,8847,calibration,basal medium,PCA,800,0.077
5.061,A1,8854,calibration,basal medium,PCA,800,0.077
5.144,A1,8869,calibration,basal medium,PCA,800,0.077
5.228,A1,8846,calibration,basal medium,PCA,800,0.077
5.311,A1,8906,calibration,basal medium,PCA,800,0.077
5.394,A1,8864,calibration,basal medium,PCA,800,0.077
5.478,A1,8879,calibration,basal medium,PCA,800,0.077
5.561,A1,8845,calibration,basal medium,PCA,800,0.077
5.644,A1,8861,calibration,basal medium,PCA,800,0.077
5.728,A1,8847,calibration,basal medium,PCA,800,0.077
5.811,A1,8858,calibration,basal medium,PCA,800,0.077
5.894,A1,8874,calibration,basal medium,PCA,800,0.077
5.978,A1,8854,calibration,basal medium,PCA,800,0.077
6.061,A1,8849,calibration,basal medium,PCA,800,0.077
6.144,A1,8875,calibration,basal medium,PCA,800,0.077
6.228,A1,8825,calibration,basal medium,PCA,800,0.077
6.311,A1,8850,calibration,basal medium,PCA,800,0.077
6.394,A1,8828,calibration,basal medium,PCA,800,0.077
6.478,A1,8864,calibration,basal medium,PCA,800,0.077
6.561,A1,8889,calibration,basal medium,PCA,800,0.077
6.644,A1,8860,calibration,basal medium,PCA,800,0.077
6.728,A1,8837,calibration,basal medium,PCA,800,0.077
6.811,A1,8909,calibration,basal medium,PCA,800,0.077
6.894,A1,8883,calibration,basal medium,PCA,800,0.078
6.978,A1,8853,calibration,basal medium,PCA,800,0.077
7.061,A1,8852,calibration,basal medium,PCA,800,0.077
7.144,A1,8867,calibration,basal medium,PCA,800,0.077
7.228,A1,8891,calibration,basal medium,PCA,800,0.077
7.311,A1,8891,calibration,basal medium,PCA,800,0.077
7.394,A1,8866,calibration,basal medium,PCA,800,0.078
7.478,A1,8842,calibration,basal medium,PCA,800,0.077
7.561,A1,8879,calibration,basal medium,PCA,800,0.077
7.644,A1,8864,calibration,basal medium,PCA,800,0.078
7.728,A1,8895,calibration,basal medium,PCA,800,0.077
7.811,A1,8848,calibration,basal medium,PCA,800,0.077
7.894,A1,8917,calibration,basal medium,PCA,800,0.077
7.978,A1,8915,calibration,basal medium,PCA,800,0.076
8.061,A1,8891,calibration,basal medium,PCA,800,0.076
8.144,A1,8933,calibration,basal medium,PCA,800,0.076
8.228,A1,8930,calibration,basal medium,PCA,800,0.076
8.311,A1,8907,calibration,basal medium,PCA,800,0.076
8.394,A1,8885,calibration,basal medium,PCA,800,0.076
8.478,A1,8874,calibration,basal medium,PCA,800,0.077
8.561,A1,8883,calibration,basal medium,PCA,800,0.076
8.644,A1,8909,calibration,basal medium,PCA,800,0.077
8.728,A1,8898,calibration,basal medium,PCA,800,0.076
8.811,A1,8922,calibration,basal medium,PCA,800,0.077
8.894,A1,8902,calibration,basal medium,PCA,800,0.077
8.978,A1,8901,calibration,basal medium,PCA,800,0.076
9.061,A1,8902,calibration,basal medium,PCA,800,0.076
9.144,A1,8917,calibration,basal medium,PCA,800,0.077
9.228,A1,8901,calibration,basal medium,PCA,800,0.076
9.311,A1,8873,calibration,basal medium,PCA,800,0.076
9.394,A1,8934,calibration,basal medium,PCA,800,0.076
9.478,A1,8908,calibration,basal medium,PCA,800,0.077
9.561,A1,8881,calibration,basal medium,PCA,800,0.077
9.644,A1,8906,calibration,basal medium,PCA,800,0.076
9.728,A1,8874,calibration,basal medium,PCA,800,0.077
9.811,A1,8904,calibration,basal medium,PCA,800,0.076
9.894,A1,8877,calibration,basal medium,PCA,800,0.076
9.978,A1,8917,calibration,basal medium,PCA,800,0.076
10.061,A1,8932,calibration,basal medium,PCA,800,0.076
10.144,A1,8913,calibration,basal medium,PCA,800,0.076
10.228,A1,8907,calibration,basal medium,PCA,800,0.076
10.311,A1,8901,calibration,basal medium,PCA,800,0.076
10.394,A1,8919,calibration,basal medium,PCA,800,0.076
10.478,A1,8885,calibration,basal medium,PCA,800,0.076
10.561,A1,8915,calibration,basal medium,PCA,800,0.076
10.644,A1,8941,calibration,basal medium,PCA,800,0.076
10.728,A1,8925,calibration,basal medium,PCA,800,0.076
10.811,A1,8894,calibration,basal medium,PCA,800,0.076
10.894,A1,8900,calibration,basal medium,PCA,800,0.076
10.978,A1,8909,calibration,basal medium,PCA,800,0.076
11.061,A1,8920,calibration,basal medium,PCA,800,0.076
11.144,A1,8905,calibration,basal medium,PCA,800,0.076
11.228,A1,8890,calibration,basal medium,PCA,800,0.076
11.311,A1,8887,calibration,basal medium,PCA,800,0.076
11.394,A1,8927,calibration,basal medium,PCA,800,0.077
11.478,A1,8938,calibration,basal medium,PCA,800,0.076
11.561,A1,8921,calibration,basal medium,PCA,800,0.076
11.644,A1,8894,calibration,basal medium,PCA,800,0.076
11.728,A1,8927,calibration,basal medium,PCA,800,0.077
11.811,A1,8939,calibration,basal medium,PCA,800,0.076
11.894,A1,8882,calibration,basal medium,PCA,800,0.076
11.978,A1,8899,calibration,basal medium,PCA,800,0.076
12.061,A1,8893,calibration,basal medium,PCA,800,0.076
12.144,A1,8892,calibration,basal medium,PCA,800,0.076
12.228,A1,8929,calibration,basal medium,PCA,800,0.076
12.311,A1,8929,calibration,basal medium,PCA,800,0.076
12.394,A1,8926,calibration,basal medium,PCA,800,0.076
12.478,A1,8927,calibration,basal medium,PCA,800,0.076
12.561,A1,8915,calibration,basal medium,PCA,800,0.076
12.644,A1,8914,calibration,basal medium,PCA,800,0.076
12.728,A1,8929,calibration,basal medium,PCA,800,0.076
